0,1,2,3,4,5,6,7,8,9,10
whole milk,soda,other vegetables,,,,,,,,
butter,soda,,,,,,,,,
beef,soda,,,,,,,,,
chocolate,curd,shopping bags,,,,,,,,
zwieback,yogurt,,,,,,,,,
frankfurter,soda,,,,,,,,,
tropical fruit,flour,,,,,,,,,
tropical fruit,tropical fruit,dessert,sweet spreads,,,,,,,
citrus fruit,syrup,,,,,,,,,
beef,brown bread,frozen fish,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
flower soil/fertilizer,rolls/buns,,,,,,,,,
soda,bottled water,,,,,,,,,
canned beer,specialty chocolate,,,,,,,,,
rolls/buns,liquor,curd,other vegetables,,,,,,,
dessert,photo/film,,,,,,,,,
whole milk,frozen meals,,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
butter,semi-finished bread,,,,,,,,,
dessert,bottled water,,,,,,,,,
dessert,yogurt,,,,,,,,,
candy,baking powder,canned fish,,,,,,,,
pip fruit,whole milk,margarine,,,,,,,,
male cosmetics,baking powder,,,,,,,,,
root vegetables,dish cleaner,,,,,,,,,
meat,butter milk,,,,,,,,,
soda,root vegetables,rolls/buns,,,,,,,,
turkey,bottled water,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
coffee,butter milk,,,,,,,,,
tidbits,berries,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
sausage,white bread,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
curd,soda,,,,,,,,,
brown bread,tropical fruit,berries,berries,,,,,,,
yogurt,frozen fish,chocolate,butter,,,,,,,
other vegetables,seasonal products,bottled water,,,,,,,,
pork,soda,,,,,,,,,
butter,whipped/sour cream,rolls/buns,,,,,,,,
spices,soda,,,,,,,,,
zwieback,onions,female sanitary products,,,,,,,,
flower (seeds),white wine,,,,,,,,,
turkey,shopping bags,whole milk,,,,,,,,
ham,frozen meals,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
bottled beer,rolls/buns,herbs,UHT-milk,,,,,,,
citrus fruit,roll products ,,,,,,,,,
frozen meals,hamburger meat,whole milk,pastry,fruit/vegetable juice,,,,,,
cat food,butter,,,,,,,,,
seasonal products,soups,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
specialty bar,roll products ,,,,,,,,,
soda,whole milk,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
herbs,sugar,,,,,,,,,
pip fruit,salty snack,,,,,,,,,
yogurt,UHT-milk,dessert,frozen dessert,,,,,,,
pork,pip fruit,,,,,,,,,
house keeping products,rolls/buns,mayonnaise,,,,,,,,
sugar,whole milk,shopping bags,,,,,,,,
root vegetables,pastry,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
ham,meat,,,,,,,,,
beef,bottled water,bottled water,,,,,,,,
chicken,pastry,candles,,,,,,,,
other vegetables,shopping bags,specialty bar,,,,,,,,
sausage,canned beer,,,,,,,,,
chicken,salty snack,coffee,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
rolls/buns,cat food,,,,,,,,,
whole milk,whipped/sour cream,long life bakery product,,,,,,,,
brown bread,frozen vegetables,,,,,,,,,
yogurt,grapes,,,,,,,,,
chicken,chocolate,,,,,,,,,
beef,tea,,,,,,,,,
meat,UHT-milk,,,,,,,,,
misc. beverages,yogurt,oil,,,,,,,,
ham,canned fruit,,,,,,,,,
other vegetables,rolls/buns,bottled water,soda,,,,,,,
sausage,baking powder,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
chocolate,dish cleaner,domestic eggs,,,,,,,,
ham,yogurt,,,,,,,,,
meat,tropical fruit,yogurt,candles,,,,,,,
whole milk,dessert,,,,,,,,,
rolls/buns,sausage,whole milk,nuts/prunes,,,,,,,
chocolate,frankfurter,yogurt,margarine,canned vegetables,,,,,,
brown bread,shopping bags,soda,,,,,,,,
liquor,domestic eggs,,,,,,,,,
shopping bags,root vegetables,curd,,,,,,,,
root vegetables,snack products,,,,,,,,,
tropical fruit,waffles,bottled beer,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
frozen vegetables,butter,,,,,,,,,
beverages,candles,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
canned beer,other vegetables,waffles,oil,,,,,,,
